Title,Description,LastEdition,User,Category,Url
First Idea,This is the first idea,Sun Mar 26 2023 12:01:38 GMT+0700 (Indochina Time),Trọng,Official Category,https://server-enterprise.onrender.com/api/idea/singleidea/641fd2e9e81d8b37be95210e
Ứng dụng bảo mật,Một ý tưởng thú vị cho phòng IT là sử dụng công nghệ blockchain để quản lý và bảo vệ thông tin nhạy cảm của công ty. Điều này giúp tăng cường bảo mật thông tin và giảm thiểu,Tue Apr 04 2023 23:59:46 GMT+0700 (Indochina Time),Trọng,Official Category,https://server-enterprise.onrender.com/api/idea/singleidea/642c57828e14c19e4815bb01
Test realtime,idea,Thu Apr 06 2023 23:58:03 GMT+0700 (Indochina Time),User,Official Category,https://server-enterprise.onrender.com/api/idea/singleidea/642efa1b12c0b8280df98bf8
dfg,afsdgfg,Fri Apr 07 2023 00:20:07 GMT+0700 (Indochina Time),User,Official Category,https://server-enterprise.onrender.com/api/idea/singleidea/642eff4764be440c71377ea0
sdgfhg,fsdgfhg,Fri Apr 07 2023 00:26:37 GMT+0700 (Indochina Time),User,Official Category,https://server-enterprise.onrender.com/api/idea/singleidea/642f00cda6d87eaa44d27e6e
sdgfh,sgfhfg,Fri Apr 07 2023 00:26:59 GMT+0700 (Indochina Time),User,Official Category,https://server-enterprise.onrender.com/api/idea/singleidea/642f00e3a6d87eaa44d28000
sgdh,sdfh,Fri Apr 07 2023 08:43:17 GMT+0700 (Indochina Time),User,Official Category,https://server-enterprise.onrender.com/api/idea/singleidea/642f75354753c83bb4440b77
gf,dafsgd,Fri Apr 07 2023 08:44:17 GMT+0700 (Indochina Time),User,Official Category,https://server-enterprise.onrender.com/api/idea/singleidea/642f75714753c83bb4440b88
sdgfhg,afsdgfh,Fri Apr 07 2023 08:45:51 GMT+0700 (Indochina Time),User,Official Category,https://server-enterprise.onrender.com/api/idea/singleidea/642f75cf4753c83bb4440bba
sdgfhgjh,sfdgfhg,Fri Apr 07 2023 08:52:50 GMT+0700 (Indochina Time),User,Official Category,https://server-enterprise.onrender.com/api/idea/singleidea/642f77729f50032d6674d7a8
safdg,dgsfh,Fri Apr 07 2023 08:55:05 GMT+0700 (Indochina Time),User,Official Category,https://server-enterprise.onrender.com/api/idea/singleidea/642f77f99f50032d6674d7bd
sfdgf,dsgf,Fri Apr 07 2023 08:55:43 GMT+0700 (Indochina Time),User,Official Category,https://server-enterprise.onrender.com/api/idea/singleidea/642f781f9f50032d6674d7ce
sfdgfhf,sfdgfh,Fri Apr 07 2023 08:56:58 GMT+0700 (Indochina Time),User,Official Category,https://server-enterprise.onrender.com/api/idea/singleidea/642f786a9f50032d6674d84d
sdgfh,fsdgfh,Fri Apr 07 2023 08:57:30 GMT+0700 (Indochina Time),User,Official Category,https://server-enterprise.onrender.com/api/idea/singleidea/642f788a9f50032d6674d85f
test,test,Fri Apr 07 2023 08:58:40 GMT+0700 (Indochina Time),User,Official Category,https://server-enterprise.onrender.com/api/idea/singleidea/642f78d09f50032d6674d882
Build a new system for U,Building a new system,Fri Apr 07 2023 14:04:36 GMT+0700 (Indochina Time),Trọng,Education01,https://server-enterprise.onrender.com/api/idea/singleidea/642fc084e638c8b4a0e9371a
Remove old system,Remove old system,Fri Apr 07 2023 14:05:15 GMT+0700 (Indochina Time),Trọng,Update category01,https://server-enterprise.onrender.com/api/idea/singleidea/642fc0abe638c8b4a0e93720
test create idea realtime,test create idea realtime,Fri Apr 07 2023 14:29:17 GMT+0700 (Indochina Time),Trọng,Official Category,https://server-enterprise.onrender.com/api/idea/singleidea/642fc64d639973668d672d5b
